AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,WS_HR,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,PM2.5
10.8,0.32,1.7,8.6,10.3,22.9,21,0.6,0,71,1.9,172,171,0.6,15
10.8,0.27,1.6,6.2,7.8,23.8,20,1.4,0,71,1.7,161,129,1.8,13
11,0.25,0.9,5.4,6.3,27.4,21,0.8,0,68,1.6,152,147,1.5,12
11,0.23,0.7,3.1,3.8,29.5,21,1.8,0,68,1.6,138,145,1.7,9
11.3,0.22,0.8,2.9,3.8,30.7,16,1.9,0,67,1.6,140,139,1.7,9
11.6,0.23,0.9,2.9,3.8,31.2,21,1.8,0,67,1.5,141,145,2.2,9
11.7,0.25,0.9,3.9,4.8,30,23,2.1,0,67,1.5,142,141,2.4,10
12,0.27,1.3,5.1,6.4,28.7,22,2.3,0,67,1.5,141,142,2.5,9
12.4,0.28,1.5,5,6.6,28.3,21,2.5,0,66,1.4,142,144,2.4,10
12.7,0.3,1.8,5.8,7.6,27.5,25,1.9,0,66,1.5,139,140,1.7,11
13.8,0.35,3.4,9.9,13.4,25.5,24,0.5,0,63,1.7,128,111,1.3,10
14.8,0.33,3.4,7.6,11,31.7,34,1.3,0,57,1.7,84,91,1.7,8
15.3,0.32,2.6,6.5,9.2,34.7,30,1.1,0,55,1.7,97,43,1,11
15.7,0.32,2.8,6.8,9.7,36.5,28,0.9,0,57,1.8,65,47,1.3,11
15.6,0.29,2.2,6.4,8.7,37.7,23,1.5,0,59,1.8,77,93,2,9
15.2,0.32,2.2,9.6,11.8,34.9,21,1.2,0,62,1.8,63,62,2,10
14.9,0.33,1.8,10.2,12,34.3,28,1.4,0,64,1.9,77,88,1.6,10
14.6,0.37,2.3,13.5,15.8,30.9,25,1.1,0,66,1.8,122,124,1,11
14.4,0.37,1.9,11.9,13.9,31.6,29,1.4,0,67,1.9,114,119,1.6,9
14.3,0.41,2.5,13,15.6,30,24,0.8,0,68,1.9,107,129,1.2,11
14.3,0.39,2.3,14.8,17.1,28.2,30,0.6,0,69,2,128,119,0.5,10
14.1,0.46,1.9,20,22,19.2,28,0.1,0,71,2,164,307,1.1,11
13.6,0.45,1.7,20.1,21.8,13.8,20,0.2,0,75,2,184,131,0.4,12
13.6,0.36,2,14,16,17.7,13,0.6,0,75,2.2,173,179,0.4,12
13.5,0.31,1.9,9.8,11.7,18.5,29,0.8,0,77,1.9,171,176,0.9,14
13.4,0.25,1.7,5.2,6.9,19.3,17,1,0,78,1.2,180,191,1,8
13.4,0.22,1.7,3.4,5.1,20.6,11,0.8,0,78,1,153,143,0.8,7
13.5,0.23,1.3,3.6,4.9,19.8,16,0.4,0,78,1.1,172,198,0.4,6
13.6,0.25,1.6,5.2,6.8,23.9,13,0.3,0,79,1.1,130,108,0.9,7
13.2,0.26,1.4,5.1,6.5,37.7,21,1,0,81,1.1,89,86,1.3,8
12.9,0.25,1.5,6.2,7.7,36.5,12,1.2,0,81,1.5,88,104,1.8,7
13.3,0.29,1.6,7.1,8.7,35.5,21,1.9,0,77,1.1,120,132,2.3,11
13.7,0.31,2,8.2,10.3,34.1,22,1.6,0,74,1.1,103,72,1.9,11
14,0.31,3.1,10.7,13.8,32.2,16,1.5,0,74,1.2,108,115,2.3,12
14.7,0.31,3.5,9.2,12.7,33.3,16,1.8,0,71,1.2,122,121,2.7,8
14.9,0.31,3.2,8.4,11.6,34.6,18,2,0,71,1.2,121,110,1.9,6
14.9,0.31,2.9,7.2,10.2,35.8,19,1.9,0,73,1.1,122,99,1.4,7
15,0.3,2.6,7.3,9.9,35.9,19,1.7,0,73,1.1,114,120,2,6
15,0.32,2.7,10.7,13.4,33,20,1.7,0,74,1.1,127,127,2.2,7
14.7,0.31,2.6,10.6,13.2,32.8,12,1.7,0,77,1.2,130,126,1.6,9
14.9,0.33,2.6,12.8,15.5,32.3,20,1.8,0,76,1.1,127,121,2.5,7
15,0.33,2.1,9.3,11.5,39.3,14,1.8,0,75,1,121,121,2.1,7
15,0.35,2.2,10.7,12.9,37.4,11,1.2,0,76,1.1,123,103,0.8,9
15.4,0.35,2.4,11.6,14.1,38.3,13,1.1,0,75,1.2,114,134,1.6,9
15.6,0.3,1.9,8.6,10.6,41.2,10,1.4,0,74,1.1,125,133,2.1,7
15.8,0.29,1.5,8.2,9.7,42,11,1.4,0,73,1.1,123,103,1.1,6
15.8,0.39,2,14.2,16.2,35.2,14,1,0,74,1.2,110,107,1.5,6
15.8,0.27,1.8,5.7,7.5,43.5,9,2.6,0,74,1,125,136,2.7,9
15.3,0.26,1.5,4.9,6.4,41.4,18,1.9,0,76,0.9,119,107,1.4,14
14.9,0.25,1.3,4.6,5.9,39.9,22,1,0,79,1.3,86,50,0.7,8
15,0.24,0.9,5.3,6.3,39.1,18,0.7,0,79,1.3,60,50,0.5,6
15.3,0.24,0.8,4.9,5.8,38.5,16,0.5,0,78,1.3,73,21,0.7,7
15.1,0.23,0.8,3.2,4.1,35.5,17,0.5,0,78,1.3,30,67,0.4,11
15.1,0.29,1,7.3,8.3,29.5,15,0.4,0,79,1.3,105,77,0.5,11
15.2,0.4,1.4,13.6,15,21.8,19,0.4,0,80,1.4,123,125,0.4,10
15.7,0.53,4.1,19.7,23.8,19.2,14,0.6,0,79,1.6,147,194,0.6,8
17.6,0.35,3.2,8.9,12.1,36,14,1.5,0,71,1.7,129,126,2.5,8
19.2,0.24,2.2,3,5.3,42,11,2.4,0,66,1.5,136,119,1.5,5
20.6,0.27,2.8,7.4,10.2,40.8,21,0.9,0,63,1.6,80,110,1.3,4
21.4,0.28,3,6.7,9.7,41.9,16,1.2,0,60,1.8,71,50,1.6,4
22.2,0.28,2.8,6.3,9.1,42.6,16,1.1,0,57,1.7,69,46,2.1,6
21.3,0.27,2.8,6.8,9.7,42.1,23,2,0,61,1.9,71,83,4,8
21.4,0.24,2.5,6.1,8.6,41.8,22,1.6,0,61,2,74,57,2.2,6
20.6,0.28,3,10,13,39,18,1.7,0,65,2.3,87,76,2.5,5
20,0.34,2.4,10.4,12.8,36.9,24,1.1,0,70,2.1,56,81,1.4,7
19.1,0.39,2.2,13,15.3,32.7,15,0.6,0,76,2.2,74,37,0.5,10
18.6,0.43,2.2,17.5,19.7,26.5,22,0.4,0,79,2.5,100,25,0.4,11
18.5,0.38,1.7,14.3,16.1,28.7,15,0.3,0,80,2.3,80,135,0.7,9
18,0.55,5.5,24.8,30.4,12.6,18,0.8,0,80,2.1,168,182,0.9,10
17.5,0.37,3.7,13.4,17.1,14.2,13,1,0,80,1.9,182,156,0.6,7
17.4,0.34,2.8,11.4,14.3,12.5,11,0.9,0,81,1.9,179,164,1.1,6
17.2,0.3,2.9,9.1,12.1,11,9,0.8,0,81,1.8,185,173,0.6,7
17.1,0.21,1.6,4.4,6.1,13.7,8,0.7,0,80,1.4,190,192,0.5,7
16.7,0.18,1.8,3.8,5.7,14.3,5,0.8,0,82,1.1,178,170,0.9,6
16.4,0.15,1.6,2.8,4.5,14.9,4,0.8,0,85,1.1,185,172,1.2,5
16.2,0.13,1.7,2,3.8,15.3,6,0.7,0,86,1.1,174,189,0.8,7
16,0.14,1.7,2,3.7,17.4,3,0.8,0.4,88,1.1,190,186,0.8,4
16,0.38,2,4.8,6.9,18.1,4,0.8,0.2,90,1,182,187,0.5,5
16.2,0.36,5.3,12.2,17.5,13.4,6,0.5,0.2,91,1.2,183,196,0.5,6
16.2,0.58,15.1,18.9,34,7.6,22,0.8,0.4,92,1.5,161,142,0.6,5
16.5,0.52,10.7,15,25.7,12.7,8,1,0.4,92,1.5,178,171,0.7,3
16.9,0.44,14.1,19,33.2,10.7,8,0.7,0.4,92,1.7,189,196,0.7,8
17.5,0.4,10.7,17.5,28.3,14.8,9,0.7,0.4,92,1.6,181,226,0.6,8
18.3,0.4,8,19.8,27.8,23.5,10,0.4,0.2,92,1.5,123,109,1.4,5
19,0.3,4.8,11.3,16.1,35.2,6,1.3,0,89,1.3,120,98,1.2,1
19.6,0.27,3.7,11.9,15.7,35.1,4,0.8,0,86,1.3,92,85,1.6,4
19.5,0.31,4.4,16.7,21.1,30.6,4,0.9,0,85,1.4,114,62,1.1,4
19.5,0.4,3.2,17.3,20.6,29.5,7,0.8,0,85,1.5,93,98,1.4,2
19.5,0.48,3.6,20.3,24,25.6,8,0.6,0,85,1.4,92,98,0.9,1
19.1,0.58,4.7,25.5,30.2,17.3,7,1,0.2,87,1.6,142,171,0.9,2
18.7,0.51,5,23,28.1,12.4,12,0.4,0.6,90,1.5,196,271,0.9,3
18.4,0.54,4,26.5,30.5,9.3,8,0.3,0.4,92,1.5,287,163,0.4,6
18.4,0.58,6.9,27.3,34.2,8,9,0.4,0.2,92,2,198,222,0.7,9
18.4,0.46,3.6,23.6,27.2,12.9,8,0.5,0,92,1.6,199,206,0.8,9
18.3,0.29,2,12.3,14.3,27.6,8,0.6,0.6,92,1.3,240,229,0.8,6
18,0.26,1.6,10.8,12.4,31.4,6,0.5,0.8,92,1.2,204,234,0.7,6
17.8,0.24,0.9,8.1,9,33.1,6,0.3,0.2,92,1.6,167,33,0.4,4
17.7,0.21,0.6,6.2,6.9,35.8,9,0.3,0,92,1.5,290,297,0.4,4
17.6,0.21,0.7,6,6.7,35.1,10,0.4,0.2,91,1.5,136,115,0.9,1
17.4,0.19,0.8,4.4,5.3,43.1,6,0.9,0,89,1.3,110,94,0.7,0
17.2,0.21,0.5,4.8,5.3,42.9,3,0.8,0,88,1.2,90,115,1.4,4
17,0.28,0.5,10.6,11.2,36.8,4,0.5,0,88,1.1,99,73,1.6,3
16.8,0.37,1.4,14.9,16.4,33.5,4,0.8,0.2,89,1.2,55,47,1.6,3
16.6,0.42,2.7,15.8,18.5,34.1,4,1,0,89,1.4,57,52,1.2,5
16.6,0.37,2.7,18.8,21.5,32.1,4,0.6,0,88,1.6,78,62,1.4,3
16.6,0.35,2.5,18.3,20.8,33.1,6,0.8,0.2,88,1.7,95,99,1.2,2
16.6,0.36,3.1,16.3,19.5,35.2,8,0.6,0,87,1.6,85,78,1.2,6
16.7,0.34,2.5,14,16.5,38.1,7,1.1,0,86,1.4,87,79,1.2,9
16.7,0.37,2.8,16.4,19.3,34.8,9,0.8,0,85,1.4,94,99,1.5,7
16.5,0.35,2.4,15.8,18.2,36.4,9,0.9,0,85,1.4,95,71,1.8,6
16.5,0.41,2.6,18.5,21.2,34.1,9,0.7,0,84,1.7,89,45,1.3,11
16.4,0.44,2.3,19.9,22.2,32.9,12,0.7,0.4,83,2.1,68,59,0.7,8
15.9,0.49,2,20.4,22.5,31.2,7,0.4,0.4,87,1.7,57,132,0.7,7
15.7,0.54,2.8,22.4,25.2,28.8,7,0.6,1,88,1.8,94,46,1.1,8
15.2,0.42,1.7,14.5,16.2,37.7,12,1,0.2,88,1.5,97,138,1.2,7
15.2,0.4,1.9,17,18.9,34.9,11,1,0.2,88,1.8,120,122,1,11
15.3,0.38,1.1,14.3,15.5,36,5,0.9,0.6,87,2.1,107,43,1,8
15,0.36,0.8,14.8,15.6,34.7,13,0.3,0.8,88,1.9,100,117,1,6
14.9,0.3,0.7,10.3,11.1,40.2,13,0.6,0.2,88,1.9,99,181,0.6,6
14.9,0.29,0.7,8.8,9.5,40.3,13,0.4,0.8,89,1.9,98,52,0.8,4
